INFO2022-02-21 16:13:24,095 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:13:24,095 | Player Group: AIs
INFO2022-02-21 16:13:24,095 | Total Coins :0
INFO2022-02-21 16:13:24,095 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:13:24,095 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:13:24,095 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:15:52,860 | Player Group: HUMANS
INFO2022-02-21 16:15:52,862 | Total Coins :16
INFO2022-02-21 16:15:52,862 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 20 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:15:52,862 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:15:52,862 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:15:52,863 | Player Group: AIs
INFO2022-02-21 16:15:52,863 | Total Coins :8
INFO2022-02-21 16:15:52,863 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 100 | EXP: 12 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:15:52,863 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:15:52,863 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:26,289 | Player Group: HUMANS
INFO2022-02-21 16:16:26,289 | Total Coins :28
INFO2022-02-21 16:16:26,289 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 32 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:26,289 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:26,289 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:26,289 | Player Group: AIs
INFO2022-02-21 16:16:26,289 | Total Coins :24
INFO2022-02-21 16:16:26,289 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 96 | EXP: 26 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:26,290 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 8 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:26,290 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:29,537 | Player Group: HUMANS
INFO2022-02-21 16:16:29,537 | Total Coins :41
INFO2022-02-21 16:16:29,537 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 45 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:29,537 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:29,537 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:29,537 | Player Group: AIs
INFO2022-02-21 16:16:29,537 | Total Coins :24
INFO2022-02-21 16:16:29,538 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 91 | EXP: 26 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:29,538 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 8 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:29,538 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:34,127 | Player Group: HUMANS
INFO2022-02-21 16:16:34,127 | Total Coins :55
INFO2022-02-21 16:16:34,127 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 59 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:34,127 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:34,128 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:34,128 | Player Group: AIs
INFO2022-02-21 16:16:34,128 | Total Coins :24
INFO2022-02-21 16:16:34,128 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 85 | EXP: 26 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:34,128 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 8 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:34,128 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:37,148 | Player Group: HUMANS
INFO2022-02-21 16:16:37,148 | Total Coins :68
INFO2022-02-21 16:16:37,148 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 72 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:37,148 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:37,148 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 100 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:37,148 | Player Group: AIs
INFO2022-02-21 16:16:37,149 | Total Coins :24
INFO2022-02-21 16:16:37,149 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 87 | EXP: 26 | ATK: 15 | DEF: 8 | Rank: 0
